origin,destination,distance,transport_mode,base_lead_time,chaos_severity,event_type,actual_travel_time
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,8,Port Strike,34.23
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,2,Congestion,1.9
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,4,Piracy Threat,3.74
WH_CHICAGO,WH_NY,1140,Road,2,6,Port Strike,4.19
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,0,Normal,1.74
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,10,Congestion,5.18
PORT_SHANGHAI,PORT_LA,10500,Sea,14,4,Piracy Threat,26.86
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,8,Congestion,13.57
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.43
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,4,Piracy Threat,12.2
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Piracy Threat,10.01
PORT_LA,WH_CHICAGO,2800,Rail,4,8,Port Strike,8.88
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.96
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,7,Congestion,3.64
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,7,Severe Weather,37.14
WH_CHICAGO,WH_NY,1140,Road,2,2,Port Strike,2.18
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,9,Equipment Failure,1.91
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,9,Port Strike,3.97
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,6,Port Strike,8.73
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.45
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,5.91
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,20.34
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Port Strike,2.79
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Severe Weather,14.45
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,2,Severe Weather,9.4
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,4,Port Strike,1.6
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,4,Severe Weather,24.78
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,8,Severe Weather,34.93
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,7,Severe Weather,35.24
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,6,Equipment Failure,15.77
PORT_LA,WH_CHICAGO,2800,Rail,4,9,Severe Weather,9.34
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,0,Normal,1.63
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,9,Congestion,4.71
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,9,Congestion,33.15
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.37
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,6,Equipment Failure,11.69
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,5,Port Strike,10.93
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,4,Severe Weather,2.63
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,13.6
PORT_LA,WH_CHICAGO,2800,Rail,4,1,Equipment Failure,4.88
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,10,Piracy Threat,15.31
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,4,Congestion,1.35
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,7,Piracy Threat,3.25
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,5,Equipment Failure,1.58
PORT_LA,WH_CHICAGO,2800,Rail,4,0,Normal,3.71
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,1,Piracy Threat,1.92
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Port Strike,2.8
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,1,Piracy Threat,19.71
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,4,Port Strike,2.54
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,23.94
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Piracy Threat,9.4
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,0.89
WH_CHICAGO,WH_NY,1140,Road,2,4,Port Strike,3.01
PORT_SHANGHAI,PORT_LA,10500,Sea,14,6,Severe Weather,28.43
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,0,Normal,6.96
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,10,Severe Weather,6.21
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,8,Port Strike,10.04
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Port Strike,2.34
PORT_SHANGHAI,PORT_LA,10500,Sea,14,7,Port Strike,32.27
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,1,Port Strike,22.02
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,17.92
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,4,Piracy Threat,18.25
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Equipment Failure,7.73
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Port Strike,8.37
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,10,Equipment Failure,3.72
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,3,Piracy Threat,1.76
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,10,Piracy Threat,16.75
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,9,Port Strike,10.4
WH_CHICAGO,WH_NY,1140,Road,2,3,Port Strike,3.63
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Severe Weather,3.32
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Piracy Threat,2.28
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,10,Piracy Threat,4.91
PORT_LA,WH_CHICAGO,2800,Rail,4,4,Piracy Threat,7.04
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,6.92
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,4,Port Strike,11.71
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,7,Piracy Threat,11.57
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,2,Port Strike,2.16
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Congestion,2.76
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,7,Port Strike,14.95
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,2,Port Strike,1.34
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,0,Normal,6.08
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Port Strike,2.62
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,2,Port Strike,8.81
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Equipment Failure,15.6
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,1,Piracy Threat,2.55
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Severe Weather,17.42
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,4,Equipment Failure,10.31
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,10,Port Strike,16.7
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,9,Equipment Failure,53.59
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,6.72
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,8,Severe Weather,12.41
WH_CHICAGO,WH_NY,1140,Road,2,8,Congestion,4.73
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,8,Severe Weather,5.21
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,2,Port Strike,10.23
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Severe Weather,9.58
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.09
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,2,Port Strike,2.04
WH_CHICAGO,WH_NY,1140,Road,2,6,Severe Weather,4.35
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,4,Congestion,34.63
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,1,Piracy Threat,27.56
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,4,Severe Weather,8.88
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,9,Equipment Failure,36.76
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,10,Piracy Threat,15.9
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Port Strike,2.45
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,2,Piracy Threat,10.08
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,5,Severe Weather,3.1
WH_CHICAGO,WH_NY,1140,Road,2,7,Equipment Failure,3.68
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Severe Weather,4.84
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,5.99
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Port Strike,43.26
WH_CHICAGO,WH_NY,1140,Road,2,3,Severe Weather,3.35
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,8,Piracy Threat,9.0
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Severe Weather,16.24
PORT_LA,WH_CHICAGO,2800,Rail,4,4,Port Strike,6.2
PORT_SHANGHAI,PORT_LA,10500,Sea,14,10,Severe Weather,46.42
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,8,Severe Weather,2.31
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,1.65
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,5,Severe Weather,1.44
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Severe Weather,9.31
PORT_LA,WH_CHICAGO,2800,Rail,4,9,Severe Weather,9.53
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.02
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,5,Equipment Failure,13.5
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Piracy Threat,9.6
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,4,Port Strike,12.09
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,8,Congestion,28.27
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,1,Port Strike,4.6
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,1.75
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Piracy Threat,10.04
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Port Strike,9.14
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Severe Weather,2.72
PORT_LA,WH_CHICAGO,2800,Rail,4,5,Port Strike,7.94
WH_CHICAGO,WH_NY,1140,Road,2,4,Congestion,3.54
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,10,Congestion,18.28
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,9,Port Strike,4.16
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,5,Port Strike,3.75
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,8,Port Strike,17.64
PORT_SHANGHAI,PORT_LA,10500,Sea,14,8,Severe Weather,30.94
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.28
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,6,Congestion,2.02
WH_CHICAGO,WH_NY,1140,Road,2,7,Congestion,3.95
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,0,Normal,1.23
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,3,Congestion,1.39
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,7,Congestion,34.54
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,9,Congestion,4.43
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,3,Piracy Threat,32.15
WH_CHICAGO,WH_NY,1140,Road,2,3,Port Strike,2.88
WH_CHICAGO,WH_NY,1140,Road,2,5,Equipment Failure,4.05
PORT_SHANGHAI,PORT_LA,10500,Sea,14,6,Severe Weather,32.31
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,5,Piracy Threat,3.73
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Equipment Failure,13.04
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,10,Equipment Failure,4.4
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.03
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,1.91
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,1.94
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Port Strike,3.19
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.2
WH_CHICAGO,WH_NY,1140,Road,2,2,Severe Weather,2.36
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,16.78
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,10,Piracy Threat,18.47
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,5,Congestion,29.34
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,24.1
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,5,Piracy Threat,13.26
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Equipment Failure,4.52
WH_CHICAGO,WH_NY,1140,Road,2,5,Piracy Threat,3.15
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.59
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,4,Equipment Failure,1.79
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,7,Piracy Threat,11.61
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.12
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,4.95
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,1.75
WH_CHICAGO,WH_NY,1140,Road,2,5,Severe Weather,4.57
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,3,Congestion,2.73
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Port Strike,2.93
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Severe Weather,9.31
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,5,Severe Weather,23.16
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,9,Port Strike,33.1
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Piracy Threat,16.24
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,5,Port Strike,2.24
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,6,Equipment Failure,11.7
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Equipment Failure,12.02
PORT_LA,WH_CHICAGO,2800,Rail,4,7,Equipment Failure,7.79
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,2.24
PORT_SHANGHAI,PORT_LA,10500,Sea,14,1,Equipment Failure,18.03
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,6,Severe Weather,3.83
PORT_LA,WH_CHICAGO,2800,Rail,4,8,Equipment Failure,8.04
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,6,Congestion,1.76
PORT_LA,WH_CHICAGO,2800,Rail,4,1,Congestion,4.97
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,5.8
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,8,Equipment Failure,17.58
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Piracy Threat,2.63
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,4,Equipment Failure,2.41
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,6.01
PORT_SHANGHAI,PORT_LA,10500,Sea,14,7,Severe Weather,28.9
WH_CHICAGO,WH_NY,1140,Road,2,7,Severe Weather,4.31
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,6,Piracy Threat,2.43
WH_CHICAGO,WH_NY,1140,Road,2,2,Congestion,2.67
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,3,Equipment Failure,1.45
PORT_LA,WH_CHICAGO,2800,Rail,4,0,Normal,4.02
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,10,Congestion,15.35
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Port Strike,2.51
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.05
WH_CHICAGO,WH_NY,1140,Road,2,1,Congestion,2.01
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,10,Port Strike,4.87
WH_CHICAGO,WH_NY,1140,Road,2,10,Severe Weather,5.06
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,1,Equipment Failure,2.46
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,6,Severe Weather,2.98
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Congestion,17.53
PORT_LA,WH_CHICAGO,2800,Rail,4,0,Normal,4.86
WH_CHICAGO,WH_NY,1140,Road,2,9,Piracy Threat,6.39
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Congestion,2.14
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,9,Congestion,30.36
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Severe Weather,2.19
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,3,Congestion,2.83
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Congestion,15.01
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,7,Port Strike,2.91
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,6,Congestion,11.97
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,4,Port Strike,31.25
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,7,Piracy Threat,14.94
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,3,Severe Weather,7.14
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,8,Equipment Failure,2.05
PORT_LA,WH_CHICAGO,2800,Rail,4,1,Severe Weather,3.93
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,9,Severe Weather,2.95
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,7,Congestion,9.85
WH_CHICAGO,WH_NY,1140,Road,2,6,Severe Weather,4.42
WH_CHICAGO,WH_NY,1140,Road,2,2,Congestion,2.8
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,6,Equipment Failure,11.23
PORT_LA,WH_CHICAGO,2800,Rail,4,6,Equipment Failure,9.55
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,10,Congestion,2.47
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Piracy Threat,10.02
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,8,Piracy Threat,9.72
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Congestion,16.18
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,1,Severe Weather,1.1
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Port Strike,5.28
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Severe Weather,4.99
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,2,Severe Weather,8.16
PORT_SHANGHAI,PORT_LA,10500,Sea,14,1,Congestion,20.97
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,1.63
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,4,Piracy Threat,1.72
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Piracy Threat,7.93
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,4,Equipment Failure,22.63
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,9,Port Strike,47.05
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Port Strike,7.92
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,2,Port Strike,7.02
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,1,Severe Weather,4.58
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.56
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,1,Piracy Threat,1.43
PORT_SHANGHAI,PORT_LA,10500,Sea,14,10,Port Strike,35.86
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Severe Weather,2.67
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,9,Piracy Threat,4.6
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,5,Equipment Failure,12.82
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,5,Port Strike,1.76
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,10,Congestion,51.02
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Equipment Failure,41.28
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,6,Severe Weather,3.66
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,5,Piracy Threat,12.48
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,7.93
WH_CHICAGO,WH_NY,1140,Road,2,8,Piracy Threat,4.38
WH_CHICAGO,WH_NY,1140,Road,2,4,Port Strike,3.07
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,9,Port Strike,12.8
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,1,Congestion,1.57
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,8,Equipment Failure,15.86
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,7,Equipment Failure,4.58
PORT_LA,WH_CHICAGO,2800,Rail,4,10,Severe Weather,10.72
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.55
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,4,Severe Weather,3.07
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Equipment Failure,7.47
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Congestion,28.85
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,1,Piracy Threat,2.83
PORT_SHANGHAI,PORT_LA,10500,Sea,14,5,Severe Weather,28.13
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,20.02
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,2,Congestion,8.62
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,0.92
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,7,Severe Weather,15.36
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,6,Port Strike,14.22
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Port Strike,2.63
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,5,Equipment Failure,21.55
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,7,Piracy Threat,11.88
PORT_LA,WH_CHICAGO,2800,Rail,4,8,Piracy Threat,10.46
PORT_LA,WH_CHICAGO,2800,Rail,4,6,Severe Weather,6.93
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,4,Congestion,3.09
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Congestion,20.24
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,5,Port Strike,2.89
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,6,Severe Weather,4.02
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,8,Port Strike,3.77
PORT_LA,WH_CHICAGO,2800,Rail,4,5,Port Strike,6.9
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,7,Equipment Failure,13.06
PORT_SHANGHAI,PORT_LA,10500,Sea,14,5,Equipment Failure,21.67
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,10,Congestion,15.83
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Equipment Failure,2.38
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Congestion,15.4
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,5,Port Strike,3.5
PORT_SHANGHAI,PORT_LA,10500,Sea,14,10,Equipment Failure,40.29
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,3,Piracy Threat,23.37
WH_CHICAGO,WH_NY,1140,Road,2,1,Severe Weather,2.58
PORT_SHANGHAI,PORT_LA,10500,Sea,14,1,Piracy Threat,16.39
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,22.54
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,7.62
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,8,Port Strike,3.23
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,2,Piracy Threat,1.48
PORT_SHANGHAI,PORT_LA,10500,Sea,14,7,Piracy Threat,36.99
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,3,Piracy Threat,3.32
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,0.85
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Port Strike,3.28
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,16.7
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,10,Congestion,26.82
PORT_LA,WH_CHICAGO,2800,Rail,4,8,Severe Weather,11.27
WH_CHICAGO,WH_NY,1140,Road,2,6,Port Strike,3.92
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,4,Piracy Threat,2.85
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Port Strike,5.22
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Congestion,15.29
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,10,Congestion,14.86
WH_CHICAGO,WH_NY,1140,Road,2,10,Port Strike,6.56
WH_CHICAGO,WH_NY,1140,Road,2,7,Port Strike,4.11
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,10,Port Strike,16.11
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Equipment Failure,7.03
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,5,Severe Weather,13.04
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,7,Severe Weather,5.11
WH_CHICAGO,WH_NY,1140,Road,2,4,Port Strike,3.68
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,1,Piracy Threat,7.26
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,5,Port Strike,13.24
WH_CHICAGO,WH_NY,1140,Road,2,2,Port Strike,3.05
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Equipment Failure,14.61
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,7,Congestion,13.37
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,8,Severe Weather,19.33
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Congestion,10.17
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,0,Normal,5.75
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,2,Piracy Threat,28.23
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,3,Port Strike,3.04
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,1.92
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,7.71
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,0,Normal,7.13
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,3,Piracy Threat,1.58
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,1.79
